author_year,case,phase,session,outcome
Marsh & Cooke (1996),1,Baseline 1,1,30
Marsh & Cooke (1996),1,Baseline 1,2,40
Marsh & Cooke (1996),1,Baseline 1,3,40
Marsh & Cooke (1996),1,Baseline 1,4,40
Marsh & Cooke (1996),1,Baseline 1,5,40
Marsh & Cooke (1996),1,Intervention 1,6,70
Marsh & Cooke (1996),1,Intervention 1,7,70
Marsh & Cooke (1996),1,Intervention 1,8,80
Marsh & Cooke (1996),1,Intervention 1,9,90
Marsh & Cooke (1996),1,Intervention 1,10,100
Marsh & Cooke (1996),1,Intervention 1,11,90
Marsh & Cooke (1996),1,Intervention 1,12,100
Marsh & Cooke (1996),1,Intervention 1,13,100
Marsh & Cooke (1996),1,Intervention 1,14,90
Marsh & Cooke (1996),1,Intervention 1,15,100
Marsh & Cooke (1996),1,Intervention 1,16,100
Marsh & Cooke (1996),1,Intervention 1,17,100
Marsh & Cooke (1996),2,Baseline 1,1,30
Marsh & Cooke (1996),2,Baseline 1,2,30
Marsh & Cooke (1996),2,Baseline 1,3,20
Marsh & Cooke (1996),2,Baseline 1,4,40
Marsh & Cooke (1996),2,Baseline 1,5,30
Marsh & Cooke (1996),2,Baseline 1,6,30
Marsh & Cooke (1996),2,Baseline 1,7,10
Marsh & Cooke (1996),2,Baseline 1,8,10
Marsh & Cooke (1996),2,Baseline 1,9,20
Marsh & Cooke (1996),2,Intervention 1,10,80
Marsh & Cooke (1996),2,Intervention 1,11,90
Marsh & Cooke (1996),2,Intervention 1,12,100
Marsh & Cooke (1996),2,Intervention 1,13,100
Marsh & Cooke (1996),2,Intervention 1,14,90
Marsh & Cooke (1996),2,Intervention 1,15,100
Marsh & Cooke (1996),2,Intervention 1,16,90
Marsh & Cooke (1996),2,Intervention 1,17,90
Marsh & Cooke (1996),3,Baseline 1,1,20
Marsh & Cooke (1996),3,Baseline 1,2,20
Marsh & Cooke (1996),3,Baseline 1,3,20
Marsh & Cooke (1996),3,Baseline 1,4,30
Marsh & Cooke (1996),3,Baseline 1,5,10
Marsh & Cooke (1996),3,Baseline 1,6,20
Marsh & Cooke (1996),3,Baseline 1,7,10
Marsh & Cooke (1996),3,Baseline 1,8,20
Marsh & Cooke (1996),3,Baseline 1,9,20
Marsh & Cooke (1996),3,Baseline 1,10,20
Marsh & Cooke (1996),3,Baseline 1,11,20
Marsh & Cooke (1996),3,Baseline 1,12,10
Marsh & Cooke (1996),3,Baseline 1,13,20
Marsh & Cooke (1996),3,Intervention 1,14,90
Marsh & Cooke (1996),3,Intervention 1,15,90
Marsh & Cooke (1996),3,Intervention 1,16,90
Marsh & Cooke (1996),3,Intervention 1,17,90
