"","AF","PY","TC"
"1","GAGE, NICHOLAS A.;LEWIS, TIMOTHY J.",2014,21
"2","KLEIN, LIESA A.;HOULIHAN, DANIEL;VINCENT, JAMES L.;PANAHON, CARLOS J.",2017,11
"3","LEE, KYUNGJAE",2014,0
"4","HEYVAERT, M.;MAES, B.;VAN DEN NOORTGATE, W.;KUPPENS, S.;ONGHENA, P.",2012,56
"5","MOEYAERT, MARIOLA;UGILLE, MAAIKE;FERRON, JOHN M.;BERETVAS, S. NATASHA;VAN DEN NOORTGATE, WIM",2014,28
"6","ROGERS, LESLIE ANN;GRAHAM, STEVE",2008,176
"7","MENDES, ANA BARBOSA;JAMSHIDI, LALEH;VAN DEN NOORTGATE, WIM;FERNANDEZ-CASTILLA, BELEN",2022,1
"8","KUPPENS, SOFIE;HEYVAERT, MIEKE;VAN DEN NOORTGATE, WIM;ONGHENA, PATRICK",2011,7
"9","UGILLE, MAAIKE;MOEYAERT, MARIOLA;BERETVAS, S. NATASHA;FERRON, JOHN;VAN DEN NOORTGATE, WIM",2012,30
"10","PETERSEN-BROWN, SHAWNA;KARICH, ABBEY;SYMONS, FRANK",2012,23
"11","PUNJA, SALIMA;XU, DONGYING;SCHMID, CHRISTOPHER H.;HARTLING, LISA;URICHUK, LIANA;NIKLES, CATHERINE JANE;VOHRA, SUNITA",2016,21
"12","NOELL, GEORGE;GANSLE, KRISTIN;MEVERS, JOANNA;KNOX, R.;MINTZ, JOSLYN;DAHIR, AMANDA",2014,33
"13","LEVIN, JOEL R.;FERRON, JOHN M.;GAFUROV, BORIS S.",2021,11
"14","SHEPLEY, COLLIN;GRISHAM-BROWN, JENNIFER;LANE, JUSTIN D.",2022,2
"15","COWAN, RICHARD J.;ABEL, LEAH;CANDEL, LINDSAY",2017,14
"16","JOO, SEANG-HWANE;WANG, YAN;FERRON, JOHN;BERETVAS, S. NATASHA;MOEYAERT, MARIOLA;VAN DEN NOORTGATE, WIM",2022,0
"17","SCRUGGS, THOMAS E.;MASTROPIERI, MARGO A.",2013,130
"18","MANOLOV, RUMEN;GUILERA, GEORGINA;SIERRA, VICENTA",2014,9
"19","SHADISH, WILLIAM R.",2014,72
"20","MAGGIN, DANIEL M.;ODOM, SAMUEL L.",2014,26
"21","CAMPBELL, JM",2004,110
"22","MOEYAERT, MARIOLA;UGILLE, MAAIKE;FERRON, JOHN M.;ONGHENA, PATRICK;HEYVAERT, MIEKE;BERETVAS, S. NATASHA;VAN DEN NOORTGATE, WIM",2015,15
"23","ELDENIZ-CETIN, MUZEYYEN;CAY, EVGIN;BOZAK, BURAK",2020,1
"24","MANOLOV, RUMEN;SOLANAS, ANTONIO;SIERRA, VICENTA",2020,5
"25","DEBODINANCE, ELLEN;MALJAARS, JARYMKE;NOENS, ILSE;VAN DEN NOORTGATE, WIM",2017,14
"26","HEDGES, LARRY V.;PUSTEJOVSKY, JAMES E.;SHADISH, WILLIAM R.",2013,119
"27","NIKLES, J.;EVANS, K.;HAMS, A.;STERLING, M.",2022,0
"28","VANNEST, KIMBERLY J.;PELTIER, COREY;HAAS, APRIL",2018,19
"29","BACKMAN, CL;HARRIS, SR;CHISHOLM, JAM;MONETTE, AD",1997,82
"30","LOURENCO, MATHEUS P. C. G.;CIMA, RILANA F. F.;VLAEYEN, JOHAN W. S.",2021,1
"31","MICHIELS, BART;ONGHENA, PATRICK",2019,5
"32","TANIOUS, RENE;MANOLOV, RUMEN",2022,0
"33","ZUIDERSMA, MARIJ;RIESE, HARRIETTE;SNIPPE, EVELIEN;BOOIJ, SANNE H.;WICHERS, MARIEKE;BOS, ELISABETH H.",2020,12
"34","KIM, DONGIL;AN, YEJI;SHIN, HYEYUN GLADYS;LEE, JAEHO;PARK, SOYOUNG",2020,2
"35","CARTER, MARK",2013,23
"36","MOEYAERT, MARIOLA;MANOLOV, RUMEN;RODABAUGH, EMILY",2020,12
"37","SHADISH, WILLIAM R.;HEDGES, LARRY V.;PUSTEJOVSKY, JAMES E.",2014,141
"38","MAGGIN, DANIEL M.",2015,14
"39","MCGILL, RYAN;BAKER, DIANA;BUSSE, R.",2015,11
"40","HOLDEN, G;BEARISON, DJ;RODE, DC;FISHMAN-KAPILOFF, M;ROSENBERG, G;ONGHENA, P",2003,8
"41","BAKKEN, RANDI KARINE;NAESS, KARI-ANNE BOTTEGAARD;GARRELS, VEERLE;HAGEN, ASTE MJELVE",2022,0
"42","PUNJA, SALIMA;SCHMID, CHRISTOPHER H.;HARDING, LISA;URICHUK, LIANA;NIKLES, CATHERINE JANE;VOHRA, SUNITA",2016,12
"43","DECLERCQ, LIES;JAMSHIDI, LALEH;FERNANDEZ CASTILLA, BELEN;MOEYAERT, MARIOLA;BERETVAS, S. NATASHA;FERRON, JOHN M.;VAN DEN NOORTGATE, WIM",2022,1
"44","CHEN, MAN;PUSTEJOVSKY, JAMES E.",NA,0
"45","MOEYAERT, MARIOLA",2019,4
"46","WANG, SHIN-YI;PARRILA, RAUNO;CUI, YING",2013,36
"47","BOWMAN-PERROTT, LISA;BURKE, MACK D.;ZAINI, SAMAR;ZHANG, NAN;VANNEST, KIMBERLY",2016,65
"48","SINGH, R. SONIA;O'BRIEN, WILLIAM H.",2018,5
"49","MCDONALD, SUZANNE;QUINN, FRANCIS;VIEIRA, RUTE;O'BRIEN, NICOLA;WHITE, MARTIN;JOHNSTON, DEREK W.;SNIEHOTTA, FALKO F.",2017,54
"50","NINCI, JENNIFER;VANNEST, KIMBERLY J.;WILLSON, VICTOR;ZHANG, NAN",2015,75
"51","PELTIER, COREY J.;VANNEST, KIMBERLY J.;MARBACH, JOSH J.",2018,15
"52","SAMUEL, JOYCE;HOLDER, TRAVIS;MOLONY, DONALD",2019,3
"53","SHIN, MIKYUNG;BRYANT, DIANE P.;POWELL, SARAH R.;JUNG, PYUNG-GANG;OK, MIN WOOK;HOU, FANGJUAN",2021,6
"54","BOWMAN-PERROTT, LISA;BURKE, MACK D.;DE MARIN, SHARON;ZHANG, NAN;DAVIS, HEATHER",2015,22
"55","ROCHAT, LUCIEN;MANOLOV, RUMEN;BILLIEUX, JOEL",2018,9
